DiasParaEleicaoBR,DiasParaEleicaoUSA,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Signal,WTI_Retorno_63d_lag3,Classe
-0.1566354,-0.009856843,-0.013873671,-0.013012638,-0.014229895,0.0646964,-0.078305215,-1.0815248,-0.022819748,Venda
-0.14446916,-0.011507634,-0.016174654,-0.013784139,-0.017865915,0.06146327,-0.071474746,-1.1493062,0.046616964,Venda
-0.17258061,0.0076463376,-0.0151760625,-0.00803929,-0.014298384,0.051795032,-0.07020891,-1.1274725,-0.0097982185,Venda
-0.18169124,0.014964796,-0.013366338,-0.0076457355,-0.017394645,0.056343276,-0.0714981,-1.0396905,0.14848058,Venda
-0.11282859,0.045687664,-0.0141015835,0.04506037,-0.025407884,0.04385126,-0.07489486,-0.96489286,0.18980823,Venda
-0.14160405,0.003927231,-0.013251362,0.03228969,-0.051477034,0.05632935,-0.07146887,-1.0111761,-0.0030157939,Venda
-0.14957054,-0.012010951,-0.014669391,0.02840701,-0.051060613,0.074302614,-0.073796675,-1.0403004,0.06631198,Venda
-0.14870292,-0.013294166,-0.006492455,-0.017309763,-0.0006150879,-0.02482471,0.13238916,-0.7856895,0.03861864,Venda
-0.15576792,-0.02736291,-0.0055913795,0.0015353413,-0.0030938436,-0.011224805,0.13196257,-0.77943456,0.098202884,Venda
-0.16014251,-0.03123771,-0.0067341835,0.0001961242,-0.0012436466,-0.012003635,0.12702858,-0.7985653,0.10370885,Venda
-0.15793325,-0.030768795,-0.006660207,-0.012860964,0.0011893942,-0.02097492,0.12493296,-0.80684966,0.11026504,Venda
-0.1702143,-0.033389755,-0.00731195,-0.016547164,0.0031162575,-0.030552909,0.1374177,-0.80799365,0.0857414,Venda
-0.15530711,-0.031622127,-0.00692105,0.013363725,-0.00044573098,-0.013387033,0.13083838,-0.81025696,0.10994624,Venda
-0.15194573,-0.034736976,-0.0073333923,0.0011960202,0.0028308614,-0.021469869,0.1564925,-0.85365486,0.11661265,Venda
-0.18056338,-0.034823935,-0.007780426,0.016108343,0.0044998927,-0.019493094,0.15877038,-0.848448,0.115637526,Venda
-0.183003,-0.03479608,-0.0075158495,0.027233744,0.0052570165,-0.011412857,0.17622341,-0.85447943,0.10600921,Venda
-0.19657531,-0.029162027,-0.007985631,0.020802591,0.003157907,-0.0015452931,0.176246,-0.8693216,0.09372064,Venda
-0.31815258,-0.037484836,-0.0073264926,0.055316962,0.010425822,0.024942955,0.17370933,-0.85601914,0.066912755,Venda
-0.33456135,-0.07396461,-0.007613536,0.06675912,0.019133259,0.030436756,0.1629322,-0.8413077,0.060125392,Venda
-0.32849568,-0.07942047,-0.010859115,0.05468788,0.011067784,0.028732643,0.16181998,-0.87742084,0.12217088,Venda
-0.26241848,-0.06355649,-0.012388042,0.054403074,-0.012416486,0.039356932,0.15605915,-0.8811632,0.11070312,Venda
-0.24611488,-0.06232275,-0.00937159,0.06592721,-0.00946576,0.045614637,0.14878124,-0.8618771,0.09618903,Venda
-0.2847277,-0.076747246,-0.011208567,0.06101244,0.011422337,0.038851667,0.14749984,-0.85900706,0.115112506,Venda
-0.15896894,-0.07801039,-0.010193524,0.05714173,0.017526444,0.03556258,0.15004991,-0.7656159,0.11912,Venda
-0.07436384,-0.060476776,-0.0071003707,0.061272044,0.006405495,0.04359038,0.14823249,-0.7402447,0.09536733,Venda
-0.07058925,-0.057865616,-0.0060719084,0.06253401,0.010148426,0.03902064,0.15289971,-0.7290664,0.07846523,Venda
0.14278054,-0.0012249715,0.0011670215,0.04413911,-0.022765037,0.03401874,0.15974815,-0.75053394,0.11146388,Venda
0.19237219,0.09629215,0.004890433,0.035658777,-0.024098821,0.039269578,0.16284999,-0.7068777,0.13751458,Venda
0.1674703,0.07884289,-0.0076185195,0.029337253,-0.06412253,0.08977492,-0.048857234,-0.817172,0.07873077,Venda
0.16659538,0.08199937,-0.008096768,0.024711309,-0.0664898,0.06480188,-0.05103266,-0.78195685,0.064099774,Venda
0.16713583,0.0770186,-0.0081633115,0.023194144,-0.06812303,0.06387665,-0.05055996,-0.7872515,0.06413127,Venda
